Date,Open,High,Low,Close,Volume
2020-09-30,9.58,9.59,9.55,9.55,22300.0
2020-10-05,9.53,9.6,9.33,9.6,11800.0
2020-10-06,9.6,9.6,9.45,9.59,11800.0
2020-10-07,9.52,9.63,9.52,9.63,11700.0
2020-10-08,9.78,9.78,9.45,9.46,7250.0
2020-10-12,9.59,9.59,9.49,9.55,6980.0
2020-10-13,9.68,9.8,9.45,9.6,62900.0
2020-10-14,9.6,9.64,9.56,9.6,36600.0
2020-10-15,9.59,9.62,9.49,9.62,21800.0
2020-10-16,9.55,9.59,9.46,9.59,47600.0
2020-10-19,9.77,9.77,9.49,9.62,36500.0
2020-10-20,9.6,9.6,9.6,9.6,3870.0
2020-10-21,9.45,9.77,9.43,9.61,34300.0
2020-10-22,9.5,9.53,9.5,9.53,20400.0
2020-10-23,9.73,9.73,9.4,9.4,28100.0
2020-10-26,9.4,9.47,9.22,9.24,55700.0
2020-10-27,9.39,9.39,9.1,9.39,18400.0
2020-10-28,9.37,9.37,9.25,9.29,18100.0
2020-10-29,9.15,9.2,9.09,9.18,75500.0
2020-10-30,9.5,10.05,9.5,10.05,292000.0
2020-11-02,11.05,11.05,11.05,11.05,109000.0
2020-11-03,12.15,12.15,12.15,12.15,301000.0
2020-11-04,13.35,13.35,13.35,13.35,162000.0
2020-11-05,14.55,14.55,12.75,13,4006000.0
2020-11-06,13.35,13.35,12.4,12.85,802000.0
2020-11-09,13.5,13.5,12.8,12.85,269000.0
2020-11-10,12.85,14.1,12.4,12.7,1642000.0
2020-11-11,12.5,12.6,11.9,12.1,466000.0
2020-11-12,12.1,12.1,10.9,11.1,360000.0
2020-11-13,11.1,11.8,11.1,11.4,152000.0
2020-11-16,11.4,11.75,11,11.1,95800.0
2020-11-17,11.3,11.8,11.3,11.6,141000.0
2020-11-18,11.8,12.2,11.65,11.65,207000.0
2020-11-19,11.3,11.6,11.2,11.3,140000.0
2020-11-20,10.5,11.5,10.5,11.15,172000.0
2020-11-23,10.7,12.2,10.7,12.1,441000.0
2020-11-24,11.9,12.2,11.45,11.6,256000.0
2020-11-25,11.6,11.65,11.3,11.35,86800.0
2020-11-26,11.4,11.75,11.4,11.55,93600.0
2020-11-27,11.7,11.9,11.45,11.6,154000.0
2020-11-30,11.5,11.5,11.2,11.4,162000.0
2020-12-01,11.45,11.95,11.3,11.55,154000.0
2020-12-02,11.6,11.7,11.6,11.6,90800.0
2020-12-03,11.7,12.75,11.7,12.75,1042000.0
2020-12-04,12.8,12.8,11.85,12.35,1097000.0
2020-12-07,12.5,12.5,11.9,11.9,190000.0
2020-12-08,11.9,12.1,11.15,11.2,399000.0
2020-12-09,11.45,11.75,11.3,11.35,159000.0
2020-12-10,11.3,11.3,10.9,11,186000.0
2020-12-11,11,11.2,10.9,11.05,146000.0
2020-12-14,11.3,11.35,10.95,11.1,116000.0
2020-12-15,11.2,11.2,10.8,11,79600.0
2020-12-16,11.15,11.5,10.85,11.05,127000.0
2020-12-17,11.1,11.3,10.9,11,106000.0
2020-12-18,11.15,11.2,10.95,10.95,84700.0
2020-12-21,11,11,10.8,10.95,109000.0
2020-12-22,10.95,10.95,10.7,10.7,141000.0
2020-12-23,10.7,10.9,10.5,10.7,123000.0
2020-12-24,10.7,10.85,10.7,10.85,75300.0
2020-12-25,10.95,11.2,10.85,10.85,105000.0
2020-12-28,11.15,11.9,10.9,11.9,1679000.0
2020-12-29,11.95,12.4,11.25,12.4,840000.0
2020-12-30,12.3,12.35,11.7,11.7,679000.0
2020-12-31,11.7,11.85,11.35,11.55,232000.0
2021-01-04,11.55,11.55,11.3,11.35,150000.0
2021-01-05,11.5,12,11.35,11.5,164000.0
2021-01-06,11.6,11.6,10.7,10.8,237000.0
2021-01-07,11.05,11.05,10.7,10.85,167000.0
2021-01-08,10.9,11.2,10.75,11,80800.0
2021-01-11,11.25,12.1,11.05,12.1,1315000.0
2021-01-12,11.8,11.85,11.3,11.6,515000.0
2021-01-13,11.6,11.6,11.4,11.5,134000.0
2021-01-14,11.65,12.6,11.4,11.9,423000.0
2021-01-15,12,12.4,11.5,11.5,894000.0
2021-01-18,11.5,11.95,11.4,11.4,290000.0
2021-01-19,11.4,11.55,11.2,11.25,132000.0
2021-01-20,11.2,11.2,10.9,10.9,126000.0
2021-01-21,11.05,11.95,11.05,11.95,4444000.0
2021-01-22,11.65,12.9,11.4,12.45,1235000.0
2021-01-25,12.45,12.45,11.8,11.8,388000.0
2021-01-26,11.95,12.15,11.2,11.3,380000.0
2021-01-27,11.3,11.7,11.3,11.45,160000.0
2021-01-28,11.25,11.45,11.1,11.15,169000.0
2021-01-29,11.3,11.4,10.7,10.8,237000.0
2021-02-01,11.1,11.7,10.8,11.3,140000.0
2021-02-02,11.45,11.6,11.2,11.3,62800.0
2021-02-03,11.5,11.5,11.15,11.2,211000.0
2021-02-04,11.2,11.45,11,11,69600.0
2021-02-05,11.4,11.4,11,11.1,139000.0
2021-02-17,11.45,11.6,11.25,11.45,170000.0
2021-02-18,11.55,11.7,11.2,11.35,267000.0
2021-02-19,11.35,11.7,11.25,11.5,211000.0
2021-02-22,11.5,12.1,11.5,11.5,220000.0
2021-02-23,11.55,11.85,11.5,11.6,257000.0
2021-02-24,11.75,12.6,11.7,12,1080000.0
2021-02-25,12.2,12.4,11.8,11.95,428000.0
2021-02-26,11.85,12.25,11.55,12.25,431000.0
2021-03-02,12.6,12.6,11.95,11.95,354000.0
2021-03-03,12.2,12.2,11.9,11.95,189000.0
2021-03-04,12,12,11.7,11.75,167000.0
2021-03-05,11.65,12,11.6,11.75,137000.0
2021-03-08,11.8,11.8,11.7,11.8,91600.0
2021-03-09,11.95,12.15,11.75,11.8,74200.0
2021-03-10,12.1,12.95,12.05,12.95,1587000.0
2021-03-11,13.4,13.55,12.45,12.45,2343000.0
2021-03-12,12.45,12.6,12.2,12.3,485000.0
2021-03-15,12.4,12.45,12.3,12.4,185000.0
2021-03-16,12.5,13.5,12.4,13.3,996000.0
2021-03-17,13.15,13.4,12.8,13.1,824000.0
2021-03-18,13.4,13.55,13,13.05,629000.0
2021-03-19,13.1,14.35,13,14.35,3818000.0
2021-03-22,15.75,15.75,15.75,15.75,873000.0
2021-03-23,17,17,14.2,14.2,3867000.0
2021-03-24,13.9,15.6,13.85,15,1372000.0
2021-03-25,15,15.2,14,14.2,1109000.0
2021-03-26,14.2,14.6,14.2,14.25,380000.0
2021-03-29,14.25,15,14.25,14.45,473000.0
2021-03-30,14.55,14.95,14.35,14.45,407000.0
2021-03-31,14.5,15.6,14.5,15,976000.0
2021-04-01,15.35,16.5,15.15,16.5,2688000.0
2021-04-06,17.6,18.15,17.25,18.15,2489000.0
2021-04-07,18.75,18.95,17.35,17.65,3328000.0
2021-04-08,17.6,18.6,17.35,17.9,1765000.0
2021-04-09,18.1,19.65,17.6,19.65,2541000.0
2021-04-12,20.5,20.95,19,19,3743000.0
2021-04-13,19,19.55,17.1,17.5,1931000.0
2021-04-14,17.9,18.6,16.4,17.5,1892000.0
2021-04-15,17.25,18.3,17.2,17.75,903000.0
2021-04-16,17.8,18.2,17.3,17.7,609000.0
2021-04-19,17.7,18.1,17.3,17.3,1119000.0
2021-04-20,17.3,18.5,17.25,17.4,1198000.0
2021-04-21,17.65,18.55,17.55,17.9,1086000.0
2021-04-22,18.2,18.35,16.8,16.85,1648000.0
2021-04-23,17.15,17.95,16.95,17.75,945000.0
2021-04-26,18.2,18.25,17.6,17.85,616000.0
2021-04-27,18,18,17.2,17.25,503000.0
2021-04-28,17.4,17.9,17,17.8,743000.0
2021-04-29,17.9,18.05,17.25,17.3,620000.0
2021-05-03,17.15,17.2,15.75,15.9,1194000.0
2021-05-04,16.2,16.8,14.5,14.75,1830000.0
2021-05-05,14.95,15.7,14.75,15.3,758000.0
2021-05-06,15.35,15.85,15.05,15.1,481000.0
2021-05-07,15.2,15.7,15.05,15.5,656000.0
2021-05-10,15.35,16.2,15.35,15.55,545000.0
2021-05-11,15.55,16.15,14.2,14.35,866000.0
2021-05-12,14.15,14.6,12.95,13,857000.0
2021-05-13,12.75,14.3,12.3,14.1,1063000.0
2021-05-14,14,14.4,13.1,13.35,686000.0
2021-05-17,12.05,12.75,12.05,12.05,803000.0
2021-05-18,12.4,13.25,12.35,13.25,663000.0
2021-05-19,13.3,14.5,13.2,13.2,1355000.0
2021-05-20,13.35,14.15,13.05,13.35,2804000.0
2021-05-21,13.45,14.4,13.2,13.65,4686000.0
2021-05-24,13.5,14.3,13.1,13.55,1887000.0
2021-05-25,13.85,13.95,13.35,13.5,1647000.0
2021-05-26,13.65,14.2,13.55,13.8,1061000.0
2021-05-27,13.7,14.3,13.55,13.9,1099000.0
2021-05-28,14.1,14.75,13.95,14.4,2433000.0
2021-05-31,14.5,14.85,14.25,14.4,889000.0
2021-06-01,14.6,14.6,14.25,14.4,411000.0
